Module 2,Module 3,Module 11,Module 9,Module 10,Module 7,Module 5,Module 8,Module 1,Module 6,Module 4
Fcgr3,Rpl41,,,,,,,Ssr2,,
H2-Eb1,,,,,,,,Selenow,,
Cd302,,,,,,,,Cox6a1,,
B2m,,,,,,,,Dctpp1,,
H2-K1,,,,,,,,Dpm3,,
Gpr84,,,,,,,,Krtcap2,,
Selenop,,,,,,,,Swi5,,
Ang,,,,,,,,Uqcrq,,
H2-D1,,,,,,,,Atpif1,,
H2-Ab1,,,,,,,,Mrpl18,,
Ggh,,,,,,,,Uqcr10,,
Rnaset2a,,,,,,,,Mrps36,,
,,,,,,,,Psma5,,
,,,,,,,,Ndufb6,,
,,,,,,,,Ppia,,
,,,,,,,,Ly6a,,
,,,,,,,,Tomm5,,
,,,,,,,,Ifi27l2a,,
,,,,,,,,Snrpe,,
,,,,,,,,Phf11b,,
,,,,,,,,Pnp,,
