Module 7,Module 1,Module 11,Module 6,Module 3,Module 12,Module 9,Module 4,Module 10,Module 2,Module 8,Module 5
,Cd300c2,,,Ier3ip1,,,Rpl39,,Romo1,,
,Saysd1,,,Bloc1s1,,,Rps27,,Psma5,,
,Bri3,,,Myl6,,,Rps13,,Ndufb6,,
,Syngr2,,,Mrpl33,,,,,Psmg4,,
,Ftl1,,,,,,,,Ppia,,
,Fcer1g,,,,,,,,Ly6a,,
,Fcgr3,,,,,,,,Tomm5,,
,H2-Eb1,,,,,,,,Snrpe,,
,Cd302,,,,,,,,Tma7,,
,B2m,,,,,,,,,,
,H2-K1,,,,,,,,,,
,Gpr84,,,,,,,,,,
,Selenop,,,,,,,,,,
,Ang,,,,,,,,,,
,H2-D1,,,,,,,,,,
,H2-Ab1,,,,,,,,,,
,Ggh,,,,,,,,,,
,Rnaset2a,,,,,,,,,,
